,Date,Low,Open,Volume,High,Close,Adjusted Close
8794,04-05-2018,165.22000122070312,165.9600067138672,3430000,169.5,167.97999572753906,148.14395141601562
8795,07-05-2018,167.5,168.5800018310547,3175800,169.92999267578125,168.05999755859375,148.21446228027344
8796,08-05-2018,167.5,168.80999755859375,3937700,170.5,168.49000549316406,148.59371948242188
8797,09-05-2018,167.08999633789062,168.6999969482422,2861400,170.52999877929688,169.63999938964844,149.60792541503906
8798,10-05-2018,169.36000061035156,170.25999450683594,2947100,171.49000549316406,170.77000427246094,150.60447692871094
8799,11-05-2018,170.02999877929688,170.3800048828125,3740500,174.35000610351562,173.88999938964844,153.3560333251953
8800,14-05-2018,173.0399932861328,174.10000610351562,3370600,177.8000030517578,175.9600067138672,155.18157958984375
8801,15-05-2018,171.10000610351562,174.80999755859375,4491700,175.30999755859375,172.33999633789062,151.9890594482422
8802,16-05-2018,170.6199951171875,171.35000610351562,2494200,174.5800018310547,173.8000030517578,154.45973205566406
8803,17-05-2018,172.52999877929688,173.30999755859375,2268400,175.42999267578125,174.64999389648438,155.2151336669922
8804,18-05-2018,174.69000244140625,176.50999450683594,3377200,177.33999633789062,176.3000030517578,156.6815185546875
8805,21-05-2018,175.89999389648438,177.1199951171875,2557200,177.94000244140625,176.47000122070312,156.8325958251953
8806,22-05-2018,176.50999450683594,176.7100067138672,2742700,179.57000732421875,178.36000061035156,158.5122833251953
8807,23-05-2018,176.66000366210938,177.1199951171875,2242000,179.99000549316406,179.94000244140625,159.91648864746094
8808,24-05-2018,176.99000549316406,180.0,2386100,180.25999450683597,177.9600067138672,158.1567840576172
8809,25-05-2018,177.60000610351562,177.9600067138672,1812000,179.0800018310547,178.24000549316406,158.4056396484375
8810,29-05-2018,175.77000427246094,176.99000549316406,2382000,178.3800048828125,177.44000244140625,157.6946258544922
8811,30-05-2018,178.00999450683594,178.2899932861328,3419200,181.77999877929688,180.2400054931641,160.18307495117188
8812,31-05-2018,178.3800048828125,180.30999755859372,5247200,180.9499969482422,179.6199951171875,159.632080078125
8813,01-06-2018,180.3600006103516,180.75,2892800,184.7700042724609,183.57000732421875,163.14251708984375
8814,04-06-2018,182.8300018310547,183.17999267578125,2298800,185.97000122070312,185.44000244140625,164.804443359375
8815,05-06-2018,179.7899932861328,182.8000030517578,3980800,184.7100067138672,181.72999572753903,161.5072479248047
8816,06-06-2018,180.8699951171875,182.00999450683597,2213100,184.1499938964844,183.5500030517578,163.124755859375
8817,07-06-2018,182.50999450683597,183.47000122070312,2729600,184.0500030517578,183.3000030517578,162.902587890625
8818,08-06-2018,183.6000061035156,183.88999938964844,2865000,185.6499938964844,184.3000030517578,163.79127502441406
8819,11-06-2018,182.92999267578125,184.13999938964844,2409400,184.82000732421875,184.6100006103516,164.0668182373047
8820,12-06-2018,183.41000366210935,184.2700042724609,2045300,185.1199951171875,185.07000732421875,164.47561645507812
8821,13-06-2018,183.4499969482422,185.3600006103516,2243900,186.57000732421875,183.67999267578125,163.2402801513672
8822,14-06-2018,182.6999969482422,184.08999633789065,2289600,186.07000732421875,185.7899932861328,165.11544799804688
8823,15-06-2018,184.0200042724609,186.47000122070312,6474500,186.7400054931641,185.00999450683597,164.42225646972656
8824,18-06-2018,182.3800048828125,184.1300048828125,2370700,184.5,183.9499969482422,163.48023986816406
8825,19-06-2018,182.8300018310547,182.8300018310547,2538500,186.33999633789065,186.19000244140625,165.47096252441406
8826,20-06-2018,184.7400054931641,186.25,2415200,187.50999450683597,186.50999450683597,165.75535583496094
8827,21-06-2018,184.4199981689453,186.50999450683597,2206400,186.50999450683597,185.9900054931641,165.293212890625
8828,22-06-2018,184.8300018310547,186.30999755859372,11153100,188.08999633789065,185.1499938964844,164.54666137695312
8829,25-06-2018,184.07000732421875,185.00999450683597,2678200,186.69000244140625,185.3600006103516,164.7333221435547
8830,26-06-2018,183.97999572753903,185.33999633789065,2070600,185.9499969482422,184.58999633789065,164.04901123046875
8831,27-06-2018,183.47000122070312,184.9199981689453,2354800,187.3600006103516,183.52999877929688,163.1069793701172
8832,28-06-2018,181.6999969482422,183.16000366210935,2286300,184.5800018310547,183.33999633789065,162.93809509277344
8833,29-06-2018,183.58999633789065,183.58999633789065,2606200,186.0500030517578,184.58999633789065,164.04901123046875
8834,02-07-2018,182.6999969482422,184.08999633789065,2069800,185.4600067138672,185.2899932861328,164.6710968017578
8835,03-07-2018,185.57000732421875,186.4499969482422,1348000,187.3999938964844,185.7100067138672,165.0443878173828
8836,05-07-2018,185.6100006103516,186.13999938964844,1801000,188.1699981689453,187.3600006103516,166.51077270507812
8837,06-07-2018,188.00999450683597,188.57000732421875,2751600,191.4900054931641,191.00999450683597,169.7545928955078
8838,09-07-2018,191.1699981689453,191.5,3065500,194.38999938964844,194.1699981689453,172.5629425048828
8839,10-07-2018,192.5399932861328,194.1699981689453,2757000,196.1499938964844,195.69000244140625,173.91380310058594
8840,11-07-2018,192.5200042724609,194.6000061035156,2431400,195.19000244140625,193.1499938964844,171.65646362304688
8841,12-07-2018,192.55999755859372,194.19000244140625,2251900,194.25999450683597,194.0800018310547,172.4829559326172
8842,13-07-2018,193.3800048828125,194.9900054931641,2232000,196.75,195.91000366210935,174.10934448242188
8843,16-07-2018,194.1100006103516,195.7100067138672,1824800,196.57000732421875,194.8800048828125,173.19393920898438
8844,17-07-2018,192.1100006103516,192.3699951171875,2567300,194.8999938964844,193.9199981689453,172.34075927734375
8845,18-07-2018,192.0500030517578,193.25,2215800,194.0,192.8000030517578,171.3454132080078
8846,19-07-2018,190.2899932861328,191.8600006103516,2539200,192.8500061035156,191.75999450683597,170.42112731933594
8847,20-07-2018,189.4900054931641,191.47999572753903,2252200,191.47999572753903,190.4900054931641,169.29244995117188
8848,23-07-2018,189.16000366210935,190.1100006103516,1767000,190.97000122070312,189.97000122070312,168.83035278320312
8849,24-07-2018,190.5,191.25,2440400,193.1999969482422,191.3999938964844,170.1011962890625
8850,25-07-2018,190.7700042724609,191.6199951171875,2009300,193.4600067138672,193.0399932861328,171.55868530273438
8851,26-07-2018,192.67999267578125,195.02999877929688,2835800,195.58999633789065,194.0500030517578,172.45631408691406
8852,27-07-2018,189.57000732421875,196.0,4100200,196.22000122070312,192.44000244140625,171.0254364013672
8853,30-07-2018,189.94000244140625,191.5,2984700,192.2100067138672,190.6300048828125,169.41690063476562
8854,31-07-2018,190.8699951171875,191.0,4429300,197.4900054931641,196.5500030517578,174.6781005859375
8855,01-08-2018,194.6999969482422,196.3300018310547,2632800,196.97999572753903,195.83999633789065,174.04713439941406
8856,02-08-2018,192.72999572753903,194.63999938964844,2500400,197.4199981689453,196.3800048828125,174.52703857421875
8857,03-08-2018,196.1000061035156,196.2700042724609,2176200,198.41000366210935,197.9900054931641,175.95790100097656
8858,06-08-2018,196.5200042724609,197.44000244140625,1913800,199.8300018310547,197.6100006103516,175.62013244628906
8859,07-08-2018,197.63999938964844,197.69000244140625,2349800,200.8999938964844,200.3999938964844,178.09970092773438
8860,08-08-2018,195.07000732421875,198.5,3145900,198.5,196.1999969482422,174.3670654296875
8861,09-08-2018,193.8300018310547,195.42999267578125,2766500,196.32000732421875,193.97000122070312,172.38523864746094
8862,10-08-2018,192.25999450683597,193.3000030517578,1769100,195.17999267578125,194.4199981689453,172.78517150878906
8863,13-08-2018,193.72000122070312,194.69000244140625,1802900,196.32000732421875,195.6100006103516,173.84271240234375
8864,14-08-2018,194.88999938964844,195.94000244140625,1240200,196.9600067138672,195.75999450683597,173.9759979248047
8865,15-08-2018,192.88999938964844,194.8300018310547,1900200,195.47999572753903,195.25999450683597,173.5316619873047
8866,16-08-2018,192.72999572753903,194.4600067138672,2361700,197.1300048828125,196.44000244140625,175.76858520507812
8867,17-08-2018,195.27999877929688,196.2400054931641,2183800,198.50999450683597,197.4199981689453,176.64544677734375
8868,20-08-2018,196.8699951171875,197.88999938964844,1747900,198.5,197.55999755859372,176.77072143554688
8869,21-08-2018,196.72999572753903,197.92999267578125,1666900,198.3999938964844,197.30999755859372,176.5470428466797
8870,22-08-2018,195.8300018310547,197.1499938964844,1709300,198.75,197.83999633789065,177.02127075195312
8871,23-08-2018,195.6199951171875,197.3699951171875,1351200,197.75,196.6000061035156,175.91175842285156
8872,24-08-2018,195.6000061035156,196.8800048828125,1358500,197.5,196.63999938964844,175.9475860595703
8873,27-08-2018,196.7899932861328,197.5200042724609,2034400,198.66000366210935,198.6000061035156,177.70130920410156
8874,28-08-2018,198.0,199.0200042724609,1644200,199.8300018310547,198.6199951171875,177.7191619873047
8875,29-08-2018,196.9199981689453,197.7899932861328,1775100,200.0,199.75,178.7303009033203
8876,30-08-2018,198.6999969482422,199.5800018310547,1992500,200.69000244140625,200.3500061035156,179.2671356201172
8877,31-08-2018,198.38999938964844,199.8300018310547,2981400,200.47000122070312,199.80999755859372,178.7839813232422
8878,04-09-2018,195.3300018310547,199.25,2293500,199.75,196.72999572753903,176.028076171875
8879,05-09-2018,196.8500061035156,197.1300048828125,1809000,198.6699981689453,197.75,176.94076538085938
8880,06-09-2018,195.1199951171875,197.5500030517578,1797300,198.58999633789065,196.1499938964844,175.50912475585938
8881,07-09-2018,194.75,195.42999267578125,2604100,197.5500030517578,196.3000030517578,175.6433563232422
8882,10-09-2018,196.38999938964844,197.3600006103516,4310800,203.69000244140625,202.5,181.19091796875
8883,11-09-2018,199.2700042724609,201.0,3386000,203.0,199.47000122070312,178.47975158691406
8884,12-09-2018,198.13999938964844,199.67999267578125,2133500,201.5,199.5,178.506591796875
8885,13-09-2018,199.41000366210935,200.2400054931641,2780200,203.08999633789065,202.92999267578125,181.5756683349609
8886,14-09-2018,200.0,203.63999938964844,2504200,204.4199981689453,200.5800018310547,179.47293090820312
8887,17-09-2018,199.50999450683597,200.2899932861328,1950100,201.4499969482422,200.80999755859372,179.67874145507812
8888,18-09-2018,199.1999969482422,200.4199981689453,1982300,203.8699951171875,202.33999633789065,181.04774475097656
8889,19-09-2018,201.57000732421875,202.69000244140625,2204600,204.3999938964844,203.1999969482422,181.8172607421875
8890,20-09-2018,203.0200042724609,203.6000061035156,2225000,205.25,205.1000061035156,183.51730346679688
8891,21-09-2018,204.1699981689453,205.66000366210935,7314000,206.6199951171875,205.1000061035156,183.51730346679688
8892,24-09-2018,204.1100006103516,204.52999877929688,2642000,207.6699981689453,207.2100067138672,185.4052734375
8893,25-09-2018,206.25999450683597,208.27999877929688,2556200,208.8999938964844,206.4600067138672,184.7341766357422
8894,26-09-2018,206.2899932861328,206.2899932861328,2162600,208.8800048828125,206.8300018310547,185.0652618408203
8895,27-09-2018,206.83999633789065,207.41000366210935,2571200,210.19000244140625,208.88999938964844,186.90850830078125
8896,28-09-2018,206.7700042724609,208.5399932861328,3238200,208.8000030517578,207.2899932861328,185.47683715820312
8897,01-10-2018,206.6199951171875,207.72999572753903,2518100,209.33999633789065,206.91000366210935,185.13682556152344
8898,02-10-2018,206.08999633789065,206.4199981689453,2172100,208.1000061035156,207.6699981689453,185.81686401367188
8899,03-10-2018,206.63999938964844,208.25,2258800,208.25,206.8999938964844,185.1278533935547
8900,04-10-2018,200.80999755859372,206.08999633789065,3219800,207.1499938964844,203.47000122070312,182.05880737304688
8901,05-10-2018,201.8300018310547,204.4499969482422,2481000,206.08999633789065,204.0200042724609,182.55093383789065
8902,08-10-2018,203.22999572753903,203.3699951171875,2878100,206.1300048828125,205.57000732421875,183.93785095214844
