Date,Close-Last,Volume,Open,High,Low,,,
03-16-2020,85.31 ,1417171,87.00 ,92.78 ,83.35 ,,,
03-13-2020,96.05 ,1680944,93.15 ,96.37 ,85.72 ,,,
03-12-2020,88.63 ,1766554,91.43 ,93.32 ,88.30 ,,,
03-11-2020,99.32 ,1829395,101.86 ,101.96 ,97.79 ,,,
03-10-2020,104.70 ,1989058,108.32 ,108.79 ,102.20 ,,,
03-09-2020,105.72 ,1434162,102.72 ,108.42 ,102.46 ,,,
03-06-2020,110.50 ,1260001,110.87 ,112.29 ,107.67 ,,,
03-05-2020,114.10 ,1645087,112.57 ,114.59 ,111.59 ,,,
03-04-2020,116.37 ,1206509,112.17 ,116.55 ,110.50 ,,,
03-03-2020,110.07 ,1317220,110.74 ,114.07 ,109.13 ,,,
03-02-2020,110.12 ,1264051,103.00 ,110.35 ,103.00 ,,,
02-28-2020,102.55 ,2281039,105.23 ,105.45 ,100.47 ,,,
02-27-2020,107.45 ,1342533,112.00 ,112.51 ,107.32 ,,,
02-26-2020,113.02 ,948139,112.47 ,114.66 ,112.47 ,,,
02-25-2020,112.41 ,963578,114.91 ,115.32 ,111.85 ,,,
02-24-2020,114.74 ,1217761,112.84 ,115.42 ,112.39 ,,,
02-21-2020,115.18 ,2527232,114.24 ,115.45 ,113.99 ,,,
02-20-2020,114.49 ,692278,115.55 ,115.80 ,113.32 ,,,
02-19-2020,115.27 ,726409,115.97 ,117.33 ,115.20 ,,,
02-18-2020,115.67 ,1085103,113.50 ,116.16 ,113.13 ,,,
02-14-2020,116.20 ,530378,114.64 ,116.25 ,114.64 ,,,
02-13-2020,114.40 ,409848,114.17 ,114.90 ,113.95 ,,,
02-12-2020,114.06 ,582609,114.90 ,115.06 ,112.94 ,,,
02-11-2020,114.80 ,462961,115.72 ,116.68 ,114.68 ,,,
02-10-2020,115.73 ,941261,114.12 ,115.85 ,114.01 ,,,
02-07-2020,114.33 ,959451,115.97 ,116.30 ,114.24 ,,,
02-06-2020,115.85 ,910589,117.21 ,117.23 ,115.53 ,,,
02-05-2020,116.47 ,1020182,119.24 ,119.25 ,115.90 ,,,
02-04-2020,118.67 ,867005,118.94 ,120.23 ,118.46 ,,,
02-03-2020,117.79 ,719195,117.28 ,118.89 ,117.03 ,,,
01-31-2020,116.46 ,912291,115.85 ,116.80 ,115.55 ,,,
01-30-2020,115.96 ,990352,115.25 ,116.12 ,113.40 ,,,
01-29-2020,115.34 ,1275157,112.15 ,115.77 ,109.76 ,,,
01-28-2020,111.14 ,1058563,109.83 ,111.59 ,109.80 ,,,
01-27-2020,109.78 ,979580,109.13 ,110.28 ,109.00 ,,,
01-24-2020,110.21 ,695936,109.66 ,110.29 ,109.24 ,,,
01-23-2020,109.63 ,483220,109.05 ,109.68 ,108.48 ,,,
01-22-2020,109.14 ,585913,109.38 ,109.45 ,108.22 ,,,
01-21-2020,109.25 ,733781,109.12 ,110.15 ,108.97 ,,,
01-17-2020,109.31 ,790816,108.46 ,109.37 ,108.03 ,,,
01-16-2020,108.31 ,1085303,108.56 ,108.64 ,107.78 ,,,
01-15-2020,107.86 ,623184,106.40 ,108.21 ,106.40 ,,,
01-14-2020,106.55 ,705150,107.26 ,107.26 ,106.33 ,,,
01-13-2020,107.09 ,394811,107.00 ,107.53 ,106.83 ,,,
01-10-2020,106.84 ,427287,107.75 ,107.85 ,106.78 ,,,
01-09-2020,107.35 ,529956,106.27 ,107.89 ,105.99 ,,,
