,Date,Close-Last,Volume,Open,High,Low
629,12-02-2020,114.06,582609,114.9,115.06,112.94
630,11-02-2020,114.8,462961,115.72,116.68,114.68
631,10-02-2020,115.73,941261,114.12,115.85,114.01
632,07-02-2020,114.33,959451,115.97,116.3,114.24
633,06-02-2020,115.85,910589,117.21,117.23,115.53
634,05-02-2020,116.47,1020182,119.24,119.25,115.9
635,04-02-2020,118.67,867005,118.94,120.23,118.46
636,03-02-2020,117.79,719195,117.28,118.89,117.03
637,31-01-2020,116.46,912291,115.85,116.8,115.55
638,30-01-2020,115.96,990352,115.25,116.12,113.4
639,29-01-2020,115.34,1275157,112.15,115.77,109.76
640,28-01-2020,111.14,1058563,109.83,111.59,109.8
641,27-01-2020,109.78,979580,109.13,110.28,109.0
642,24-01-2020,110.21,695936,109.66,110.29,109.24
643,23-01-2020,109.63,483220,109.05,109.68,108.48
644,22-01-2020,109.14,585913,109.38,109.45,108.22
645,21-01-2020,109.25,733781,109.12,110.15,108.97
646,17-01-2020,109.31,790816,108.46,109.37,108.03
647,16-01-2020,108.31,1085303,108.56,108.64,107.78
648,15-01-2020,107.86,623184,106.4,108.21,106.4
649,14-01-2020,106.55,705150,107.26,107.26,106.33
650,13-01-2020,107.09,394811,107.0,107.53,106.83
651,10-01-2020,106.84,427287,107.75,107.85,106.78
652,09-01-2020,107.35,529956,106.27,107.89,105.99
653,08-01-2020,105.83,1167014,106.51,106.96,105.24
654,07-01-2020,106.42,557770,108.0,108.26,106.39
655,06-01-2020,108.21,718444,107.79,108.26,106.89
656,03-01-2020,108.28,721557,106.98,108.48,106.74
657,02-01-2020,107.82,572358,107.26,107.96,107.17
658,31-12-2019,107.1,308772,107.04,107.56,106.66
659,30-12-2019,107.02,379313,108.12,108.12,106.83
660,27-12-2019,107.99,465468,107.92,108.28,107.54
661,26-12-2019,107.79,241164,106.78,107.8,106.78
662,24-12-2019,106.69,305699,107.08,107.42,106.42
663,23-12-2019,107.17,514827,107.63,107.9,107.03
664,20-12-2019,107.6,861150,107.74,108.0,106.77
665,19-12-2019,107.02,843743,106.34,107.36,106.1
666,18-12-2019,105.92,446087,106.27,106.62,105.65
667,17-12-2019,106.0,700517,105.56,106.29,104.88
668,16-12-2019,105.2,740553,105.17,106.72,105.07
669,13-12-2019,104.48,497942,103.85,104.54,103.47
670,12-12-2019,104.13,417705,103.6,104.48,103.21
671,11-12-2019,103.89,580054,104.53,104.97,103.8
672,10-12-2019,104.61,727044,104.54,104.76,104.29
673,09-12-2019,104.64,496067,105.01,105.11,104.36
674,06-12-2019,105.23,601743,105.02,105.62,104.69
675,05-12-2019,104.67,598794,105.37,105.4,104.41
676,04-12-2019,105.21,604208,104.52,105.63,104.31
677,03-12-2019,104.48,618880,103.96,104.99,103.96
678,02-12-2019,104.46,552546,104.67,104.77,103.76
679,29-11-2019,104.8,264666,104.02,104.87,103.75
680,27-11-2019,104.25,1656660,105.54,105.54,103.81
681,26-11-2019,104.83,534994,104.81,105.19,104.38
682,25-11-2019,104.64,767263,104.79,105.02,104.15
683,22-11-2019,104.37,712068,104.56,105.03,103.42
684,21-11-2019,104.74,774904,105.97,106.23,104.47
685,20-11-2019,105.7,697127,104.98,105.81,104.78
686,19-11-2019,105.07,888223,104.8,105.24,103.78
687,18-11-2019,104.6,972233,103.78,104.68,103.52
688,15-11-2019,103.59,2597184,103.11,104.15,102.83
689,14-11-2019,103.26,804605,103.27,103.31,102.39
690,13-11-2019,103.27,815402,102.05,103.75,101.24
691,12-11-2019,102.45,809438,102.63,102.63,101.3
692,11-11-2019,102.53,825338,100.37,102.58,100.22
693,08-11-2019,100.66,919669,100.31,101.26,100.16
694,07-11-2019,100.53,959297,100.44,100.67,99.16
695,06-11-2019,99.92,678241,98.16,100.08,97.98
696,05-11-2019,98.42,518278,98.92,99.06,97.9
697,04-11-2019,98.59,553739,99.73,99.78,98.53
698,01-11-2019,99.23,543562,100.46,100.46,98.67
699,31-10-2019,99.77,540153,99.74,100.23,98.97
700,30-10-2019,100.06,478533,98.69,100.39,98.13
701,29-10-2019,98.64,446382,98.41,100.19,98.12
702,28-10-2019,98.73,623161,98.67,99.08,98.15
703,25-10-2019,98.43,1021996,99.91,100.49,97.42
704,24-10-2019,100.99,706399,102.0,102.0,100.27
705,23-10-2019,101.31,1365759,99.73,101.56,98.2
706,22-10-2019,97.86,1100439,98.06,98.79,96.62
707,21-10-2019,98.16,662099,99.25,99.25,97.59
708,18-10-2019,98.62,676930,98.38,99.05,97.65
709,17-10-2019,98.33,1102045,98.04,98.47,97.67
710,16-10-2019,98.06,969418,97.61,98.24,96.43
711,15-10-2019,97.92,509840,98.58,99.02,97.78
712,14-10-2019,98.35,468101,99.38,99.66,98.24
713,11-10-2019,99.31,761612,99.75,99.83,98.24
714,10-10-2019,98.56,514769,97.37,98.91,97.02
715,09-10-2019,97.33,582177,97.97,98.26,96.89
716,08-10-2019,97.08,744491,98.64,98.64,96.88
717,07-10-2019,99.01,658049,98.9,99.86,98.05
718,04-10-2019,99.23,542507,97.39,99.34,97.38
719,03-10-2019,97.14,449362,95.53,97.18,95.3
720,02-10-2019,95.74,858180,97.85,97.95,95.63
721,01-10-2019,98.59,567598,99.31,99.33,98.03
722,30-09-2019,99.35,634549,100.22,100.43,99.15
723,27-09-2019,100.08,643556,102.57,102.8,99.76
724,26-09-2019,101.82,443062,102.4,102.4,100.94
725,25-09-2019,102.76,1142852,101.82,103.05,101.13
726,24-09-2019,101.37,1053565,101.32,102.52,100.61
727,23-09-2019,100.25,765577,100.62,101.69,100.06
728,20-09-2019,100.68,631669,101.91,101.98,100.59
729,19-09-2019,101.68,407642,102.49,103.32,101.17
730,18-09-2019,102.62,469824,103.22,103.28,101.27
731,17-09-2019,102.73,1109417,99.89,103.02,99.27
732,16-09-2019,99.28,632065,99.35,100.52,98.47
733,13-09-2019,99.52,569531,99.68,99.89,97.75
734,12-09-2019,99.0,488106,98.29,100.01,98.29
735,11-09-2019,98.18,840296,98.08,98.6,96.73
736,10-09-2019,98.15,780682,102.89,102.89,97.56
737,09-09-2019,102.84,537386,104.79,105.26,102.67
738,06-09-2019,104.26,751608,102.35,104.44,102.15
739,05-09-2019,102.02,608903,100.71,102.11,100.24
740,04-09-2019,99.91,405011,100.02,100.17,99.15
741,03-09-2019,99.53,363904,99.84,100.1,99.02
742,30-08-2019,99.84,385201,100.03,100.39,99.38
743,29-08-2019,99.77,338829,99.64,99.83,98.54
744,28-08-2019,98.53,313673,98.02,98.59,97.3
745,27-08-2019,98.27,494070,99.39,99.39,97.84
746,26-08-2019,98.67,598227,98.24,98.7,97.46
747,23-08-2019,97.52,681424,99.69,100.45,97.0
748,22-08-2019,100.13,419598,99.63,100.42,99.19
749,21-08-2019,99.32,408497,99.5,99.5,98.6
750,20-08-2019,98.91,556589,99.01,99.69,98.45
751,19-08-2019,99.42,621529,98.4,99.68,98.17
752,16-08-2019,97.53,597105,97.38,97.97,96.94
753,15-08-2019,96.98,468563,95.45,97.35,95.36
754,14-08-2019,95.32,560475,96.4,97.5,95.26
755,13-08-2019,97.93,578889,96.27,98.48,96.1
756,12-08-2019,96.58,498515,97.91,98.17,96.57
757,09-08-2019,98.54,586951,97.92,98.97,97.42
758,08-08-2019,98.26,742654,96.79,98.38,96.05
759,07-08-2019,96.12,944983,94.89,96.48,93.46
760,06-08-2019,95.85,765912,95.01,96.14,94.21
761,05-08-2019,94.36,1072679,97.31,97.33,93.95
762,02-08-2019,97.95,775073,97.72,98.47,96.96
763,01-08-2019,97.65,986319,96.2,98.25,96.2
764,31-07-2019,96.37,592404,96.98,97.05,95.85
765,30-07-2019,96.8,591623,96.34,97.08,95.96
766,29-07-2019,96.67,599741,98.09,98.22,96.42
767,26-07-2019,98.06,774002,97.79,98.39,97.38
768,25-07-2019,97.61,1147331,98.23,98.81,97.45
769,24-07-2019,98.22,2170509,99.99,100.24,96.27
770,23-07-2019,100.86,1174644,101.81,102.56,100.44
771,22-07-2019,101.78,730215,100.5,102.39,99.25
772,19-07-2019,101.73,664770,103.14,103.39,101.68
773,18-07-2019,103.14,706376,102.51,103.35,102.21
774,17-07-2019,102.64,803430,103.25,103.57,102.51
